composer,score,leitmotif,match_type,similarity,start_note_idx,end_note_idx,representation,edit_distance
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,ForestMurmurs_motif,contour,0.9149,257,304,contour,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,ForestMurmurs_motif,contour,0.9149,74,121,contour,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,ForestMurmurs_motif,contour,0.9149,204,251,contour,0
max_steiner,King Kong March – Max Steiner,ForestMurmurs_motif,contour,0.9149,510,557,contour,0
john_williams,Somewhere In My Memory by John Williams,Horn_motif,contour,0.9,10,20,contour,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Horn_motif,contour,0.9,67,77,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,1193,1203,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Horn_motif,contour,0.9,20,30,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,5036,5046,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Horn_motif,contour,0.9,100,110,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,2892,2902,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,2793,2803,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,2430,2440,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,1396,1406,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Horn_motif,contour,0.9,1324,1334,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Horn_motif,contour,0.9,239,249,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Horn_motif,contour,0.9,396,406,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Horn_motif,contour,0.9,447,457,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Horn_motif,contour,0.9,229,239,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Horn_motif,contour,0.9,189,199,contour,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,ForestMurmurs_motif,contour,0.8936,21,68,contour,0
ennio_morricone,L'Ultima Diligenza di Red Rock for Piano,ForestMurmurs_motif,contour,0.8936,1,48,contour,0
erich_wolfgang_korngold,The Adventures of Robin Hood -  Finale,ForestMurmurs_motif,contour,0.8936,358,405,contour,0
john_williams,Flying Theme E. T. - John Williams,Nibelungs_motif,contour,0.875,195,203,contour,0
howard_shore,Forty Days and Forty Nights - Howard Shore,Nibelungs_motif,contour,0.875,36,44,contour,0
erich_wolfgang_korngold,The Sea Hawk – Erich Wolfgang Korngold Leitmotifs,Nibelungs_motif,contour,0.875,28,36,contour,0
ennio_morricone,Man with a harmonica - Ennio Morricone,Nibelungs_motif,contour,0.875,92,100,contour,0
john_williams,The Tale of Viktor Navorski (John Williams),Nibelungs_motif,contour,0.875,99,107,contour,0
john_williams,The Tale of Viktor Navorski (John Williams),Nibelungs_motif,contour,0.875,18,26,contour,0
ennio_morricone,Man with a harmonica - Ennio Morricone,Nibelungs_motif,contour,0.875,37,45,contour,0
john_williams,John Williams - The Hunt (Piano Solo),Nibelungs_motif,contour,0.875,92,100,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Nibelungs_motif,contour,0.875,196,204,contour,0
howard_shore,La comarca – Howard Shore,Nibelungs_motif,contour,0.875,123,131,contour,0
max_steiner,The Caine Mutiny March – Max Steiner,Nibelungs_motif,contour,0.875,92,100,contour,0
erich_wolfgang_korngold,The Adventures of Robin Hood -  Finale,ForestMurmurs_motif,contour,0.8723,658,705,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,ForestMurmurs_motif,contour,0.8723,432,479,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,1781,1788,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,1420,1427,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,2624,2631,contour,0
max_steiner,The Adventures of Don Juan Suite,Ring_motif,contour,0.8571,182,189,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,462,469,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Ring_motif,contour,0.8571,120,127,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Ring_motif,contour,0.8571,223,230,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Ring_motif,contour,0.8571,112,119,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,2524,2531,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,1606,1613,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,2507,2514,contour,0
max_steiner,The Adventures of Don Juan Suite,Ring_motif,contour,0.8571,211,218,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,1664,1671,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,188,195,contour,0
max_steiner,The Adventures of Don Juan Suite,Ring_motif,contour,0.8571,221,228,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,242,249,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Ring_motif,contour,0.8571,139,146,contour,0
erich_wolfgang_korngold,Wedding March from _Midsummer Nigt's Dream_ (F.Mendelssohn),Ring_motif,contour,0.8571,55,62,contour,0
howard_shore,La comarca – Howard Shore,Ring_motif,contour,0.8571,217,224,contour,0
howard_shore,La comarca – Howard Shore,Ring_motif,contour,0.8571,144,151,contour,0
howard_shore,La comarca – Howard Shore,Ring_motif,contour,0.8571,111,118,contour,0
howard_shore,La comarca – Howard Shore,Ring_motif,contour,0.8571,101,108,contour,0
howard_shore,La comarca – Howard Shore,Ring_motif,contour,0.8571,55,62,contour,0
howard_shore,La comarca – Howard Shore,Ring_motif,contour,0.8571,44,51,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,11,18,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,82,89,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,96,103,contour,0
