composer,score,leitmotif,match_class,combined_score,interval_sim,contour_sim,rhythm_sim,start_note_idx,end_note_idx,edit_distance
howard_shore,The Shire,Mime_motif,strong,0.8333,0.6667,1.0,1.0,99,103,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,239,243,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,233,237,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,198,202,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,192,196,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,143,147,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,122,126,0
howard_shore,Over the Misty Mountains Cold (from J. R. R. Tolkien's book The Hobbit),Mime_motif,strong,0.8333,0.6667,1.0,1.0,117,121,0
john_williams,John Williams - The Hunt (Piano Solo),Mime_motif,strong,0.8333,0.6667,1.0,1.0,334,338,0
ennio_morricone,Ennio Morricone - Poverty,Mime_motif,strong,0.8333,0.6667,1.0,1.0,105,109,0
ennio_morricone,Cinema Paradiso (Morricone),Mime_motif,strong,0.8333,0.6667,1.0,1.0,105,109,0
ennio_morricone,Ennio Morricone - Poverty,Mime_motif,strong,0.8333,0.6667,1.0,1.0,167,171,0
john_williams,Flying Theme E. T. - John Williams,Nibelungs_motif,near-exact,0.8125,0.75,0.875,0.875,195,204,0
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,SwirlingBlaze_motif,approximate,0.8,0.8,0.8,0.0,364,370,1
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),SwirlingBlaze_motif,strong,0.8,0.6,1.0,1.0,277,283,0
john_williams,Flying Theme E. T. - John Williams,Ride_motif,approximate,0.8,0.8,1.0,0.0,511,517,1
john_williams,John Williams - The Hunt (Piano Solo),Nibelungs_motif,near-exact,0.8,0.75,0.75,1.0,6,15,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.8,0.6,1.0,1.0,444,450,0
max_steiner,Love Theme - The Big Sleep – Max Steiner Love Theme - The Big Sleep,SwirlingBlaze_motif,strong,0.8,0.6,1.0,1.0,243,249,0
max_steiner,Love Theme - The Big Sleep – Max Steiner Love Theme - The Big Sleep,SwirlingBlaze_motif,strong,0.8,0.6,1.0,1.0,69,75,0
max_steiner,Gone With The Wind Suite – Max Steiner,SwirlingBlaze_motif,approximate,0.8,0.8,1.0,0.0,865,871,1
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,SwirlingBlaze_motif,approximate,0.8,0.8,0.8,0.0,346,352,1
max_steiner,Gone With The Wind Suite – Max Steiner,SwirlingBlaze_motif,approximate,0.8,0.8,0.8,0.0,889,895,1
ennio_morricone,Cinema Paradiso (Morricone),SwirlingBlaze_motif,strong,0.8,0.6,1.0,1.0,126,132,0
howard_shore,La comarca – Howard Shore,Nibelungs_motif,near-exact,0.775,0.75,0.75,0.875,117,126,0
ennio_morricone,Man with a harmonica - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,30,34,0
ennio_morricone,Man with a harmonica - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,5,9,0
erich_wolfgang_korngold,Wedding March from _Midsummer Nigt's Dream_ (F.Mendelssohn),Sword_motif,strong,0.7667,0.6667,1.0,0.6667,154,161,0
erich_wolfgang_korngold,Wedding March from _Midsummer Nigt's Dream_ (F.Mendelssohn),Sword_motif,strong,0.7667,0.6667,1.0,0.6667,91,98,0
